filewrites,filereads,CPU,diskIOBW,net bytes
134,3,6.05000019073,533203628.916,5927.33333333
205,3,7.53999996185,579985075.001,6760.83333333
250,3,8.0,587121100.8,7075.5
225,5,7.21000003815,572274108.316,919952.333333
